incident_id,timestamp,event_type,severity,region,resolution_time_min,resolution_method
28,2024-04-25 03:15:00,stream_drop,low,US-East,77,auto_recover
29,2024-02-28 18:14:00,buffering,low,US-East,31,restart_stream
30,2024-01-09 10:04:00,encoder_fault,low,APAC,29,auto_recover
31,2024-02-03 23:59:00,encoder_fault,medium,US-West,102,manual_intervention
32,2024-04-14 06:06:00,buffering,medium,EU-Central,56,manual_intervention
33,2024-04-29 23:03:00,cdn_timeout,medium,US-East,9,manual_intervention
34,2024-03-27 03:15:00,stream_drop,low,APAC,19,manual_intervention
35,2024-02-16 08:29:00,stream_drop,high,US-East,58,auto_recover
36,2024-01-26 01:41:00,encoder_fault,high,US-East,120,cdn_failover
37,2024-02-12 13:31:00,latency_spike,low,APAC,117,restart_stream
38,2024-02-12 12:00:00,latency_spike,low,APAC,38,manual_intervention
39,2024-06-27 23:50:00,encoder_fault,medium,APAC,21,cdn_failover
40,2024-03-16 06:03:00,encoder_fault,high,US-East,97,encoder_reset
41,2024-01-15 01:37:00,latency_spike,medium,LATAM,22,restart_stream
42,2024-05-10 02:54:00,stream_drop,low,US-East,88,cdn_failover
43,2024-04-13 03:56:00,encoder_fault,low,LATAM,7,auto_recover
44,2024-01-21 13:42:00,encoder_fault,medium,EU-Central,35,cdn_failover
45,2024-06-20 22:20:00,stream_drop,low,US-West,87,encoder_reset
46,2024-04-27 10:59:00,buffering,low,LATAM,74,restart_stream
47,2024-01-19 17:13:00,encoder_fault,low,EU-Central,114,restart_stream
48,2024-03-03 11:18:00,stream_drop,medium,LATAM,92,encoder_reset
49,2024-06-05 20:33:00,buffering,medium,LATAM,40,restart_stream
50,2024-02-04 08:07:00,buffering,high,US-West,36,encoder_reset
51,2024-06-03 06:45:00,audio_sync,low,EU-Central,66,manual_intervention
52,2024-03-05 01:05:00,cdn_timeout,medium,EU-Central,7,restart_stream
53,2024-03-26 04:40:00,audio_sync,low,APAC,72,manual_intervention
54,2024-05-23 00:07:00,buffering,critical,US-West,149,restart_stream
55,2024-04-04 18:35:00,stream_drop,medium,US-East,41,encoder_reset
56,2024-01-11 11:13:00,cdn_timeout,low,US-East,47,auto_recover
57,2024-04-14 19:47:00,stream_drop,critical,US-West,231,cdn_failover
58,2024-02-15 13:01:00,stream_drop,high,EU-Central,102,manual_intervention
59,2024-06-20 23:51:00,stream_drop,low,US-East,50,restart_stream
60,2024-04-30 07:12:00,latency_spike,medium,US-West,30,restart_stream
61,2024-06-17 06:25:00,audio_sync,low,US-East,100,encoder_reset
62,2024-03-30 20:32:00,latency_spike,medium,LATAM,44,restart_stream
63,2024-01-30 08:11:00,encoder_fault,critical,EU-Central,19,restart_stream
64,2024-06-01 13:22:00,cdn_timeout,high,APAC,79,auto_recover
65,2024-01-30 12:57:00,encoder_fault,low,US-East,92,manual_intervention
66,2024-01-01 16:59:00,encoder_fault,medium,US-West,48,manual_intervention
67,2024-01-18 21:58:00,audio_sync,medium,US-East,94,encoder_reset
68,2024-05-09 09:42:00,latency_spike,medium,EU-Central,72,cdn_failover
69,2024-02-19 13:42:00,latency_spike,medium,US-West,80,auto_recover
70,2024-03-18 12:35:00,buffering,medium,US-West,57,auto_recover
71,2024-06-04 20:20:00,latency_spike,medium,US-West,67,manual_intervention
72,2024-02-13 21:05:00,audio_sync,medium,LATAM,44,restart_stream
73,2024-03-01 21:19:00,stream_drop,high,US-West,5,restart_stream
74,2024-03-03 15:39:00,buffering,medium,LATAM,26,manual_intervention
75,2024-05-06 12:15:00,stream_drop,medium,US-East,116,restart_stream
76,2024-04-18 07:11:00,cdn_timeout,medium,US-East,73,cdn_failover
77,2024-02-01 14:08:00,latency_spike,medium,LATAM,78,encoder_reset
78,2024-04-23 19:52:00,cdn_timeout,high,APAC,108,auto_recover
79,2024-04-24 05:47:00,latency_spike,medium,US-West,109,encoder_reset
80,2024-05-13 15:40:00,stream_drop,low,US-East,93,encoder_reset
81,2024-03-01 08:21:00,audio_sync,high,US-East,19,cdn_failover
82,2024-02-29 12:44:00,stream_drop,high,US-East,55,manual_intervention
83,2024-03-25 17:29:00,latency_spike,low,APAC,51,auto_recover
84,2024-06-27 00:54:00,encoder_fault,medium,US-East,47,encoder_reset
85,2024-04-09 13:34:00,cdn_timeout,high,LATAM,116,cdn_failover
86,2024-05-04 07:17:00,latency_spike,medium,APAC,45,manual_intervention
87,2024-02-12 14:58:00,stream_drop,critical,LATAM,16,manual_intervention
88,2024-05-31 18:42:00,buffering,low,APAC,19,manual_intervention
89,2024-02-16 01:16:00,latency_spike,medium,APAC,43,encoder_reset
90,2024-04-07 08:48:00,latency_spike,low,US-East,62,restart_stream
91,2024-05-18 01:22:00,stream_drop,medium,US-East,98,restart_stream
92,2024-03-04 06:53:00,buffering,medium,US-West,18,manual_intervention
93,2024-06-20 03:36:00,stream_drop,medium,EU-Central,100,encoder_reset
94,2024-02-12 19:38:00,cdn_timeout,high,US-West,41,restart_stream
95,2024-05-28 00:59:00,audio_sync,medium,APAC,52,cdn_failover
96,2024-01-20 18:44:00,cdn_timeout,low,EU-Central,110,auto_recover
97,2024-01-31 18:50:00,buffering,medium,APAC,86,encoder_reset
98,2024-01-18 16:41:00,audio_sync,low,APAC,107,manual_intervention
99,2024-01-28 13:23:00,cdn_timeout,high,APAC,92,cdn_failover
100,2024-04-21 05:46:00,encoder_fault,critical,EU-Central,167,auto_recover
101,2024-05-03 14:27:00,cdn_timeout,medium,EU-Central,111,cdn_failover
102,2024-01-23 08:56:00,latency_spike,low,APAC,74,auto_recover
103,2024-06-20 12:21:00,buffering,medium,EU-Central,25,manual_intervention
104,2024-02-24 11:51:00,audio_sync,medium,LATAM,91,encoder_reset
105,2024-05-22 00:33:00,stream_drop,low,APAC,64,auto_recover
106,2024-03-02 22:30:00,cdn_timeout,high,APAC,103,restart_stream
107,2024-01-24 09:14:00,latency_spike,medium,EU-Central,86,auto_recover
108,2024-04-04 15:35:00,encoder_fault,medium,LATAM,44,encoder_reset
109,2024-06-28 14:17:00,audio_sync,low,US-East,94,cdn_failover
110,2024-03-21 03:47:00,encoder_fault,critical,US-West,59,cdn_failover
111,2024-05-03 08:46:00,encoder_fault,critical,LATAM,162,encoder_reset
112,2024-01-26 06:18:00,stream_drop,medium,EU-Central,3,auto_recover
113,2024-02-02 08:02:00,buffering,medium,US-West,83,manual_intervention
114,2024-01-27 00:36:00,audio_sync,medium,APAC,45,cdn_failover
115,2024-01-14 08:55:00,latency_spike,low,US-East,53,manual_intervention
116,2024-01-19 18:40:00,cdn_timeout,low,US-West,105,auto_recover
117,2024-03-18 02:15:00,buffering,medium,APAC,79,auto_recover
118,2024-06-07 07:49:00,encoder_fault,medium,APAC,40,auto_recover
119,2024-04-19 09:36:00,encoder_fault,low,US-East,99,cdn_failover
120,2024-06-09 06:16:00,cdn_timeout,low,US-West,24,auto_recover
121,2024-01-20 05:00:00,latency_spike,medium,LATAM,62,encoder_reset
122,2024-01-09 07:18:00,cdn_timeout,low,APAC,11,cdn_failover
123,2024-03-08 20:37:00,cdn_timeout,high,US-West,56,restart_stream
124,2024-05-19 07:41:00,stream_drop,critical,US-West,28,restart_stream
125,2024-02-12 09:38:00,cdn_timeout,high,EU-Central,58,restart_stream
126,2024-04-29 22:19:00,cdn_timeout,medium,EU-Central,66,auto_recover
127,2024-05-06 14:05:00,encoder_fault,low,APAC,96,encoder_reset
128,2024-06-03 08:01:00,buffering,low,LATAM,77,restart_stream
129,2024-06-21 08:36:00,buffering,high,US-West,62,auto_recover
130,2024-06-15 14:58:00,audio_sync,low,LATAM,57,manual_intervention
131,2024-01-24 15:22:00,latency_spike,medium,US-East,111,cdn_failover
132,2024-03-25 13:44:00,latency_spike,low,APAC,106,auto_recover
133,2024-01-10 14:05:00,audio_sync,low,US-East,100,manual_intervention
134,2024-05-11 00:42:00,encoder_fault,medium,US-East,26,auto_recover
135,2024-04-02 19:48:00,latency_spike,medium,US-East,28,encoder_reset
136,2024-05-20 04:59:00,audio_sync,medium,APAC,17,restart_stream
137,2024-06-10 19:51:00,stream_drop,high,EU-Central,72,restart_stream
138,2024-05-21 13:05:00,stream_drop,critical,US-East,128,restart_stream
139,2024-06-14 04:31:00,cdn_timeout,low,EU-Central,55,manual_intervention
140,2024-04-30 07:29:00,encoder_fault,low,US-West,119,auto_recover
141,2024-05-10 23:56:00,stream_drop,high,EU-Central,100,manual_intervention
142,2024-03-28 16:17:00,buffering,low,EU-Central,109,auto_recover
143,2024-05-28 21:31:00,stream_drop,medium,APAC,46,encoder_reset
144,2024-05-21 17:24:00,latency_spike,critical,US-West,188,cdn_failover
145,2024-05-26 12:14:00,latency_spike,low,APAC,92,manual_intervention
146,2024-04-08 21:50:00,cdn_timeout,critical,APAC,19,cdn_failover
147,2024-05-08 18:21:00,buffering,high,APAC,14,auto_recover
148,2024-04-26 00:46:00,stream_drop,medium,US-West,11,manual_intervention
149,2024-03-08 10:39:00,cdn_timeout,medium,US-East,111,encoder_reset
150,2024-06-21 17:24:00,audio_sync,medium,APAC,113,auto_recover
151,2024-01-10 19:04:00,stream_drop,medium,EU-Central,31,restart_stream
152,2024-04-21 03:48:00,cdn_timeout,high,US-East,58,cdn_failover
153,2024-06-26 09:57:00,buffering,low,US-East,39,encoder_reset
154,2024-04-05 13:09:00,stream_drop,medium,LATAM,89,cdn_failover
155,2024-02-13 05:05:00,encoder_fault,high,LATAM,89,cdn_failover
156,2024-05-07 18:09:00,stream_drop,medium,EU-Central,60,encoder_reset
157,2024-06-19 00:57:00,latency_spike,critical,LATAM,50,restart_stream
158,2024-04-23 11:37:00,audio_sync,medium,APAC,90,encoder_reset
159,2024-04-26 09:12:00,latency_spike,high,US-East,32,manual_intervention
160,2024-05-26 11:36:00,audio_sync,critical,EU-Central,15,manual_intervention
161,2024-03-11 00:36:00,cdn_timeout,high,US-East,118,auto_recover
162,2024-05-07 09:49:00,stream_drop,medium,EU-Central,30,cdn_failover
163,2024-06-07 08:43:00,cdn_timeout,high,US-West,82,restart_stream
164,2024-06-09 20:02:00,audio_sync,high,US-East,76,encoder_reset
165,2024-02-03 02:58:00,audio_sync,medium,APAC,24,cdn_failover
166,2024-02-03 17:56:00,audio_sync,medium,EU-Central,108,cdn_failover
167,2024-03-06 15:51:00,audio_sync,high,EU-Central,104,restart_stream
168,2024-04-29 02:09:00,stream_drop,high,APAC,110,auto_recover
169,2024-04-03 02:50:00,latency_spike,low,LATAM,17,manual_intervention
170,2024-04-04 21:47:00,cdn_timeout,low,APAC,107,encoder_reset
171,2024-01-28 21:14:00,latency_spike,low,LATAM,43,auto_recover
172,2024-02-26 20:04:00,cdn_timeout,high,EU-Central,85,manual_intervention
173,2024-01-30 04:02:00,buffering,medium,APAC,16,restart_stream
174,2024-03-01 17:08:00,latency_spike,medium,LATAM,55,auto_recover
175,2024-02-09 13:41:00,buffering,high,LATAM,54,encoder_reset
176,2024-01-09 22:23:00,stream_drop,medium,US-West,111,encoder_reset
177,2024-01-26 21:23:00,encoder_fault,critical,EU-Central,25,manual_intervention
178,2024-03-11 06:07:00,latency_spike,low,US-West,84,auto_recover
179,2024-01-06 01:50:00,audio_sync,low,US-West,102,auto_recover
180,2024-02-22 02:53:00,encoder_fault,low,US-West,106,cdn_failover
181,2024-03-25 04:50:00,encoder_fault,low,US-West,18,auto_recover
182,2024-03-05 05:07:00,cdn_timeout,high,US-West,3,encoder_reset
183,2024-03-01 18:20:00,buffering,low,US-East,18,manual_intervention
184,2024-05-14 03:47:00,buffering,medium,EU-Central,67,auto_recover
185,2024-01-28 14:32:00,stream_drop,critical,US-East,196,auto_recover
186,2024-03-18 14:41:00,buffering,low,APAC,110,manual_intervention
187,2024-04-19 21:06:00,latency_spike,high,APAC,11,restart_stream
188,2024-03-23 19:09:00,buffering,low,LATAM,83,auto_recover
189,2024-05-20 22:20:00,latency_spike,critical,LATAM,85,manual_intervention
190,2024-05-09 19:27:00,buffering,high,US-East,111,auto_recover
191,2024-02-25 13:28:00,stream_drop,medium,APAC,53,manual_intervention
192,2024-01-25 10:27:00,audio_sync,medium,EU-Central,21,manual_intervention
193,2024-01-18 02:53:00,buffering,low,US-East,97,encoder_reset
194,2024-02-03 17:03:00,encoder_fault,critical,LATAM,94,restart_stream
195,2024-04-15 11:55:00,cdn_timeout,critical,APAC,232,restart_stream
196,2024-03-14 19:19:00,audio_sync,low,LATAM,29,cdn_failover
197,2024-06-17 15:14:00,buffering,medium,LATAM,49,restart_stream
198,2024-03-12 18:14:00,latency_spike,high,LATAM,80,auto_recover
199,2024-01-07 19:59:00,cdn_timeout,high,EU-Central,5,cdn_failover
200,2024-03-10 22:48:00,audio_sync,critical,EU-Central,11,cdn_failover
201,2024-02-06 18:42:00,latency_spike,low,US-East,13,auto_recover
202,2024-02-25 12:26:00,latency_spike,medium,EU-Central,41,encoder_reset
203,2024-05-25 19:05:00,buffering,low,LATAM,8,restart_stream
204,2024-03-10 14:42:00,latency_spike,medium,APAC,55,encoder_reset
205,2024-02-25 16:07:00,audio_sync,medium,EU-Central,88,auto_recover
206,2024-05-04 16:42:00,audio_sync,low,APAC,78,restart_stream
207,2024-01-02 06:19:00,stream_drop,high,EU-Central,39,encoder_reset
208,2024-01-31 00:31:00,cdn_timeout,medium,US-West,50,auto_recover
209,2024-06-29 07:32:00,encoder_fault,high,EU-Central,11,manual_intervention
210,2024-01-11 13:01:00,latency_spike,critical,EU-Central,157,manual_intervention
211,2024-05-26 12:45:00,cdn_timeout,medium,US-East,53,restart_stream
212,2024-03-24 05:51:00,encoder_fault,medium,EU-Central,13,manual_intervention
213,2024-01-28 07:27:00,encoder_fault,medium,US-East,52,encoder_reset
214,2024-03-27 07:21:00,stream_drop,low,US-East,69,auto_recover
215,2024-02-19 11:22:00,cdn_timeout,critical,US-West,70,restart_stream
216,2024-02-07 08:12:00,stream_drop,medium,US-East,24,manual_intervention
217,2024-04-28 18:48:00,encoder_fault,medium,LATAM,84,auto_recover
218,2024-03-23 20:20:00,stream_drop,medium,APAC,58,encoder_reset
219,2024-03-11 18:03:00,audio_sync,medium,EU-Central,61,manual_intervention
220,2024-01-10 01:23:00,audio_sync,low,US-East,80,auto_recover
221,2024-05-09 12:29:00,encoder_fault,medium,US-East,59,auto_recover
222,2024-06-15 06:20:00,encoder_fault,medium,US-West,9,manual_intervention
223,2024-01-27 10:45:00,buffering,medium,US-West,7,cdn_failover
224,2024-04-22 14:33:00,encoder_fault,medium,EU-Central,49,encoder_reset
225,2024-04-09 13:49:00,audio_sync,medium,US-East,103,encoder_reset
226,2024-01-17 10:06:00,encoder_fault,medium,EU-Central,34,auto_recover
227,2024-02-08 10:05:00,encoder_fault,medium,EU-Central,41,manual_intervention
228,2024-02-03 19:45:00,buffering,medium,APAC,84,encoder_reset
229,2024-02-02 21:44:00,cdn_timeout,critical,LATAM,33,manual_intervention
230,2024-05-10 11:01:00,audio_sync,medium,US-West,45,manual_intervention
231,2024-02-19 07:08:00,stream_drop,low,US-East,66,auto_recover
232,2024-05-14 01:42:00,audio_sync,high,LATAM,18,auto_recover
233,2024-04-06 04:10:00,stream_drop,high,LATAM,105,cdn_failover
234,2024-04-22 01:26:00,audio_sync,medium,US-West,58,auto_recover
235,2024-03-13 23:50:00,latency_spike,low,US-West,41,manual_intervention
236,2024-02-19 11:43:00,encoder_fault,critical,APAC,206,encoder_reset
237,2024-04-07 16:33:00,latency_spike,critical,US-West,215,auto_recover
238,2024-02-05 08:03:00,cdn_timeout,medium,EU-Central,72,restart_stream
239,2024-05-12 03:18:00,buffering,high,EU-Central,59,auto_recover
240,2024-02-07 13:05:00,stream_drop,high,EU-Central,5,manual_intervention
241,2024-01-14 12:32:00,audio_sync,low,US-East,49,cdn_failover
242,2024-01-08 10:59:00,buffering,high,EU-Central,103,cdn_failover
243,2024-02-05 01:18:00,latency_spike,medium,US-West,99,manual_intervention
244,2024-04-24 19:00:00,buffering,low,US-West,108,cdn_failover
245,2024-05-20 23:38:00,encoder_fault,medium,EU-Central,32,encoder_reset
246,2024-02-01 01:15:00,latency_spike,medium,LATAM,60,restart_stream
247,2024-01-29 15:38:00,encoder_fault,low,LATAM,75,cdn_failover
248,2024-02-06 09:27:00,buffering,medium,US-West,75,manual_intervention
249,2024-02-17 21:42:00,buffering,medium,EU-Central,10,auto_recover
250,2024-05-19 16:50:00,encoder_fault,medium,APAC,113,manual_intervention
251,2024-01-12 20:24:00,audio_sync,low,US-East,47,restart_stream
252,2024-03-29 07:46:00,cdn_timeout,medium,LATAM,96,encoder_reset
253,2024-02-04 01:22:00,encoder_fault,medium,US-West,108,manual_intervention
254,2024-06-27 15:40:00,stream_drop,high,US-East,93,manual_intervention
255,2024-01-10 09:12:00,buffering,high,US-East,42,encoder_reset
256,2024-05-11 12:52:00,encoder_fault,medium,US-East,98,cdn_failover
257,2024-03-14 11:55:00,buffering,high,EU-Central,36,restart_stream
258,2024-04-04 13:56:00,latency_spike,high,APAC,45,cdn_failover
259,2024-05-07 22:31:00,audio_sync,critical,LATAM,78,restart_stream
260,2024-04-18 02:27:00,encoder_fault,critical,US-West,149,encoder_reset
261,2024-03-23 03:05:00,audio_sync,medium,EU-Central,59,auto_recover
262,2024-04-19 05:44:00,latency_spike,medium,US-East,95,encoder_reset
263,2024-06-06 13:17:00,cdn_timeout,critical,US-East,29,manual_intervention
264,2024-04-03 16:51:00,cdn_timeout,medium,US-East,20,auto_recover
265,2024-06-22 14:02:00,stream_drop,low,EU-Central,48,manual_intervention
266,2024-05-25 01:38:00,stream_drop,medium,EU-Central,49,manual_intervention
267,2024-01-20 18:08:00,encoder_fault,medium,EU-Central,85,encoder_reset
268,2024-03-04 03:01:00,cdn_timeout,low,LATAM,51,auto_recover
269,2024-01-31 08:49:00,audio_sync,high,US-West,80,encoder_reset
270,2024-06-26 15:12:00,buffering,low,US-East,59,cdn_failover
271,2024-04-23 02:51:00,cdn_timeout,critical,EU-Central,180,encoder_reset
272,2024-01-17 17:34:00,audio_sync,high,US-West,93,cdn_failover
273,2024-04-02 16:14:00,buffering,critical,US-West,70,manual_intervention
274,2024-01-07 11:35:00,encoder_fault,medium,LATAM,18,auto_recover
275,2024-01-23 02:19:00,latency_spike,critical,APAC,144,manual_intervention
276,2024-04-14 18:04:00,stream_drop,critical,US-East,125,manual_intervention
277,2024-06-23 16:22:00,stream_drop,high,LATAM,83,auto_recover
278,2024-02-16 04:27:00,encoder_fault,critical,US-East,222,restart_stream
279,2024-05-12 04:19:00,stream_drop,low,US-West,46,auto_recover
280,2024-03-13 02:16:00,stream_drop,medium,LATAM,37,cdn_failover
281,2024-06-09 09:39:00,encoder_fault,low,US-West,77,auto_recover
282,2024-02-09 05:42:00,encoder_fault,high,LATAM,45,auto_recover
283,2024-01-11 00:05:00,buffering,critical,LATAM,77,cdn_failover
284,2024-05-26 13:39:00,cdn_timeout,low,LATAM,39,encoder_reset
285,2024-05-03 07:51:00,cdn_timeout,medium,APAC,11,restart_stream
286,2024-02-10 14:26:00,latency_spike,medium,EU-Central,79,cdn_failover
287,2024-03-21 22:20:00,cdn_timeout,critical,EU-Central,112,cdn_failover
288,2024-04-04 16:35:00,buffering,medium,APAC,17,encoder_reset
289,2024-04-25 07:09:00,buffering,low,APAC,112,auto_recover
290,2024-04-17 07:55:00,stream_drop,high,LATAM,94,encoder_reset
291,2024-02-18 05:31:00,encoder_fault,medium,EU-Central,65,restart_stream
292,2024-01-24 12:32:00,latency_spike,critical,US-West,159,encoder_reset
293,2024-01-13 01:18:00,latency_spike,medium,APAC,38,auto_recover
294,2024-01-03 03:27:00,stream_drop,high,EU-Central,99,manual_intervention
295,2024-04-03 01:25:00,buffering,medium,US-West,48,auto_recover
296,2024-03-14 02:24:00,encoder_fault,medium,LATAM,37,auto_recover
297,2024-06-23 19:07:00,stream_drop,critical,APAC,105,encoder_reset
298,2024-05-22 11:48:00,stream_drop,low,LATAM,53,auto_recover
299,2024-01-11 01:02:00,stream_drop,high,APAC,68,manual_intervention
300,2024-02-08 19:57:00,encoder_fault,low,LATAM,42,cdn_failover
301,2024-04-10 19:47:00,audio_sync,medium,LATAM,108,auto_recover
302,2024-05-16 15:45:00,encoder_fault,low,US-East,49,encoder_reset
303,2024-06-21 03:26:00,encoder_fault,medium,US-East,78,manual_intervention
304,2024-03-08 20:50:00,encoder_fault,medium,US-East,76,manual_intervention
305,2024-02-13 16:40:00,cdn_timeout,medium,APAC,20,cdn_failover
306,2024-01-09 18:44:00,buffering,low,APAC,42,manual_intervention
307,2024-02-08 13:44:00,stream_drop,medium,LATAM,119,manual_intervention
308,2024-01-16 22:08:00,encoder_fault,low,EU-Central,86,manual_intervention
309,2024-05-14 12:20:00,stream_drop,medium,LATAM,45,auto_recover
310,2024-03-31 21:49:00,cdn_timeout,medium,EU-Central,80,manual_intervention
311,2024-02-19 07:17:00,encoder_fault,low,EU-Central,100,encoder_reset
312,2024-06-29 06:44:00,cdn_timeout,medium,APAC,46,auto_recover
313,2024-03-11 09:07:00,encoder_fault,medium,APAC,116,manual_intervention
314,2024-03-29 04:18:00,buffering,low,US-East,46,manual_intervention
315,2024-06-16 08:47:00,latency_spike,low,LATAM,36,auto_recover
316,2024-06-27 08:08:00,buffering,medium,LATAM,32,cdn_failover
317,2024-01-13 21:57:00,encoder_fault,low,US-West,8,restart_stream
318,2024-04-15 10:45:00,latency_spike,low,US-West,2,auto_recover
319,2024-02-10 13:41:00,latency_spike,medium,US-West,98,encoder_reset
320,2024-03-23 09:41:00,buffering,critical,US-East,176,auto_recover
321,2024-02-29 17:47:00,cdn_timeout,high,US-East,118,cdn_failover
322,2024-04-16 05:59:00,buffering,critical,APAC,211,manual_intervention
323,2024-02-17 23:55:00,audio_sync,high,US-East,40,auto_recover
324,2024-06-03 03:59:00,audio_sync,low,LATAM,69,manual_intervention
325,2024-02-04 16:29:00,audio_sync,low,US-East,44,cdn_failover
326,2024-04-27 20:16:00,cdn_timeout,low,EU-Central,103,encoder_reset
327,2024-05-25 21:48:00,stream_drop,low,APAC,107,manual_intervention
328,2024-05-11 10:05:00,latency_spike,medium,US-West,19,manual_intervention
329,2024-03-23 07:00:00,audio_sync,medium,APAC,98,encoder_reset
330,2024-03-25 09:37:00,cdn_timeout,medium,EU-Central,85,encoder_reset
331,2024-06-26 07:03:00,cdn_timeout,low,EU-Central,22,manual_intervention
332,2024-06-24 16:59:00,cdn_timeout,high,US-East,83,encoder_reset
333,2024-04-04 19:14:00,stream_drop,critical,APAC,49,manual_intervention
334,2024-06-04 11:26:00,cdn_timeout,medium,APAC,98,auto_recover
335,2024-06-19 06:48:00,stream_drop,medium,LATAM,113,restart_stream
336,2024-05-14 14:33:00,cdn_timeout,medium,LATAM,16,restart_stream
337,2024-05-20 16:12:00,encoder_fault,medium,US-West,43,auto_recover
338,2024-04-23 03:43:00,stream_drop,high,APAC,13,auto_recover
339,2024-04-24 01:29:00,stream_drop,medium,APAC,74,restart_stream
340,2024-05-23 14:43:00,audio_sync,high,APAC,34,restart_stream
341,2024-02-25 18:04:00,buffering,medium,US-East,71,restart_stream
342,2024-01-18 15:02:00,audio_sync,medium,US-West,100,manual_intervention
343,2024-04-05 12:28:00,latency_spike,medium,LATAM,19,encoder_reset
344,2024-01-31 05:34:00,latency_spike,medium,US-West,108,restart_stream
345,2024-01-06 09:29:00,cdn_timeout,high,APAC,70,manual_intervention
346,2024-02-28 07:29:00,audio_sync,low,US-West,114,restart_stream
347,2024-01-09 21:26:00,encoder_fault,high,US-East,32,cdn_failover
348,2024-01-18 03:38:00,buffering,medium,US-East,33,restart_stream
349,2024-04-12 14:14:00,encoder_fault,low,US-East,19,auto_recover
350,2024-03-15 07:52:00,cdn_timeout,medium,LATAM,78,encoder_reset
351,2024-03-01 09:56:00,stream_drop,critical,LATAM,66,manual_intervention
352,2024-03-17 08:03:00,encoder_fault,critical,US-West,170,manual_intervention
353,2024-05-22 15:03:00,audio_sync,critical,APAC,211,auto_recover
354,2024-03-22 22:26:00,latency_spike,low,APAC,25,auto_recover
355,2024-05-01 07:54:00,stream_drop,medium,US-West,105,manual_intervention
356,2024-01-15 17:26:00,latency_spike,medium,US-West,51,cdn_failover
357,2024-03-06 06:21:00,cdn_timeout,low,APAC,110,encoder_reset
358,2024-01-24 17:46:00,stream_drop,low,APAC,88,auto_recover
359,2024-06-03 01:55:00,buffering,low,LATAM,94,auto_recover
360,2024-02-25 15:13:00,audio_sync,medium,US-East,29,cdn_failover
361,2024-01-31 23:48:00,latency_spike,critical,LATAM,190,cdn_failover
362,2024-04-11 07:35:00,audio_sync,high,APAC,61,auto_recover
363,2024-06-15 11:19:00,audio_sync,medium,APAC,61,restart_stream
364,2024-04-30 10:58:00,stream_drop,medium,APAC,7,auto_recover
365,2024-02-26 23:09:00,buffering,low,LATAM,76,manual_intervention
366,2024-03-16 04:12:00,audio_sync,low,LATAM,108,cdn_failover
367,2024-05-07 17:41:00,cdn_timeout,medium,APAC,94,manual_intervention
368,2024-04-27 05:46:00,audio_sync,low,LATAM,64,cdn_failover
369,2024-05-18 20:03:00,encoder_fault,low,US-East,106,restart_stream
370,2024-01-02 13:08:00,cdn_timeout,low,US-West,3,cdn_failover
371,2024-05-09 14:23:00,buffering,medium,LATAM,118,manual_intervention
372,2024-06-17 15:01:00,buffering,medium,APAC,3,restart_stream
373,2024-05-15 23:17:00,encoder_fault,critical,US-East,138,manual_intervention
374,2024-02-15 03:58:00,buffering,medium,US-West,26,auto_recover
375,2024-05-14 08:52:00,audio_sync,low,APAC,12,encoder_reset
376,2024-04-13 14:36:00,stream_drop,critical,US-West,86,restart_stream
377,2024-06-16 20:48:00,buffering,low,APAC,50,auto_recover
